demand_id,plan_type,fabric_category,internal_item_id,item_id,max_production_limit,min_production_period,max_production_period,arrival_date,type,priority,history_supplier_id,algo_finished,algo_physical_supplier_id,designated_physical_supplier_id,forced_using_private_capacity,shared_capacity_availability,advancement_candidate,manual_arrival_date,valid,create_time,update_time
1585937137616875529,1,针织,202223105107,C47067832,2,-1,-1,2022-11-14,预估单,蓝单,0003000924,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137616875530,1,针织,202223119007,C49386477,2,-1,-1,2022-11-15,预估单,蓝单,0003000020,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137616875531,1,针织,202223119007,C49386477,2,-1,-1,2022-11-15,预估单,蓝单,0003000020,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137616875532,1,针织,202223119105,C49386475,2,-1,-1,2022-11-15,预估单,蓝单,0003000924,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137616875533,1,针织,202223119105,C49386475,2,-1,-1,2022-11-15,预估单,蓝单,0003000924,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137616875534,1,牛仔,201223110001,C44731577,2,-1,-1,2022-10-05,预估单,蓝单,0003000581,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137616875535,1,牛仔,201223110001,C44731577,2,-1,-1,2022-10-05,预估单,蓝单,0003000581,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137616875536,1,牛仔,201223110001,C44731577,2,-1,-1,2022-10-05,预估单,蓝单,0003000581,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137616875537,1,针织,202223117106,C47074929,1,-1,-1,2022-11-14,预估单,蓝单,0003002093,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137616875538,1,针织,202223117106,C47074929,1,-1,-1,2022-11-14,预估单,蓝单,0003002093,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137616875539,1,针织,202223117106,C47074929,1,-1,-1,2022-11-14,预估单,蓝单,0003002093,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137616875540,1,梭织,200223118101,C49331834,1,-1,-1,2022-11-14,预估单,蓝单,0003000247,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137616875541,1,梭织,200223110101,C49362012,1,-1,-1,2022-12-01,预估单,蓝单,0003000566,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137616875542,1,梭织,200223120108,C49387635,1,-1,-1,2022-11-14,预估单,蓝单,0003000666,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137616875543,1,梭织,200223110103,C49409373,1,-1,-1,2022-11-08,预估单,蓝单,0003000566,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
