item_id,plan_type,internal_item_id,material_code,internal_item_early_id,brand,channel,coop_mode,age_group,fabric_category,item_capacity_group,item_category,sex,year,quarter,amount_level,is_pk_item,is_popular_item,batch,valid,create_time,update_time
202123108103,2,202123108103,C41951552,123VFSZ-BS-802B,巴拉巴拉,巴拉巴拉线下,巴拉巴拉CFOB,非婴童,梭织,梭织裤子,巴拉巴拉梭织裤类,男,2022,Q1,S,0,0,1A,1,2022-11-30 09:58:54,2022-11-30 09:58:54
201123108123,2,201123108123,C41972946,123VFY-BZ-831D,巴拉巴拉,巴拉巴拉线下,巴拉巴拉FOB,非婴童,针织,针织大类,巴拉巴拉针织裤类,男,2022,Q1,B,0,0,1A,1,2022-11-30 09:58:54,2022-11-30 09:58:54
200123100004,2,200123100004,C41987554,123VFB-GZ-127D,巴拉巴拉,巴拉巴拉线下,巴拉巴拉CFOB,婴童,针织,针织大类,巴拉巴拉针织卫衣/T恤,女,2022,Q1,S,0,1,3A,1,2022-11-30 09:58:54,2022-11-30 09:58:54
200123108104,2,200123108104,C41988709,123VFB-BS-836B,巴拉巴拉,巴拉巴拉线下,巴拉巴拉CFOB,婴童,梭织,梭织裤子,巴拉巴拉梭织裤类,男,2022,Q1,A,0,1,3A,1,2022-11-30 09:58:54,2022-11-30 09:58:54
200123123004,2,200123123004,C41991495,123VFB-GZ-837H,巴拉巴拉,巴拉巴拉线下,巴拉巴拉CFOB,婴童,针织,针织大类,巴拉巴拉针织裤类,女,2022,Q1,C,0,0,3A,1,2022-11-30 09:58:54,2022-11-30 09:58:54
200123123005,2,200123123005,C41991496,123VFB-GZ-837J,巴拉巴拉,巴拉巴拉线下,巴拉巴拉CFOB,婴童,针织,针织大类,巴拉巴拉针织裤类,女,2022,Q1,A,0,0,3A,1,2022-11-30 09:58:54,2022-11-30 09:58:54
200123108101,2,200123108101,C41996872,123VFB-BN-801,巴拉巴拉,巴拉巴拉线下,巴拉巴拉CFOB,婴童,牛仔,牛仔大类,巴拉巴拉牛仔裤类,男,2022,Q1,A,0,0,2A,1,2022-11-30 09:58:54,2022-11-30 09:58:54
201123111011,2,201123111011,C42002572,123VFY-GZ-307C,巴拉巴拉,巴拉巴拉线下,巴拉巴拉FOB,非婴童,针织,针织大类,巴拉巴拉针织裙类,女,2022,Q1,A,0,1,2A,1,2022-11-30 09:58:54,2022-11-30 09:58:54
202123103002,2,202123103002,C42016306,123VFZ-GM-101C,巴拉巴拉,巴拉巴拉线下,巴拉巴拉CFOB,非婴童,毛织,毛织大类,巴拉巴拉毛织毛衫,女,2022,Q1,S,0,0,2A,1,2022-11-30 09:58:54,2022-11-30 09:58:54
201123100201,2,201123100201,C42020097,123VFY-UZ-107,巴拉巴拉,巴拉巴拉线下,巴拉巴拉FOB,非婴童,针织,针织大类,巴拉巴拉针织卫衣/T恤,中,2022,Q1,B,0,0,2A,1,2022-11-30 09:58:54,2022-11-30 09:58:54
201123111001,2,201123111001,C42041193,123VFY-GM-301,巴拉巴拉,巴拉巴拉线下,巴拉巴拉CFOB,非婴童,毛织,毛织大类,巴拉巴拉毛织毛衫,女,2022,Q1,S,0,1,1A,1,2022-11-30 09:58:54,2022-11-30 09:58:54
200123101106,2,200123101106,C42046047,123VFB-BM-401B,巴拉巴拉,巴拉巴拉线下,巴拉巴拉CFOB,婴童,毛织,毛织大类,巴拉巴拉毛织毛衫,男,2022,Q1,B,0,0,3A,1,2022-11-30 09:58:54,2022-11-30 09:58:54
201123112001,2,201123112001,C42048375,123VFY-GM-302,巴拉巴拉,巴拉巴拉线下,巴拉巴拉CFOB,非婴童,毛织,毛织大类,巴拉巴拉毛织毛衫,女,2022,Q1,B,0,0,2A,1,2022-11-30 09:58:54,2022-11-30 09:58:54
202123111002,2,202123111002,C42055167,123VFZ-GS-306,巴拉巴拉,巴拉巴拉线下,巴拉巴拉CFOB,非婴童,梭织,梭织裙子,巴拉巴拉梭织裙类,女,2022,Q1,A,0,0,2A,1,2022-11-30 09:58:54,2022-11-30 09:58:54
208123100005,2,208123100005,C42199879,123DY-GZ-104,巴拉巴拉,巴拉巴拉线上,巴拉巴拉FOB,非婴童,针织,针织大类,巴拉巴拉针织卫衣/T恤,女,2022,Q1,B,0,0,2批,1,2022-11-30 09:58:54,2022-11-30 09:58:54
